code,prevelence,h2_observed,h2_observed_se,h2_liability,h2_liability_se,h2_z,h2_p
I70,0.00100831,0.003493951,0.001973145,0.305750944,0.172667224,1.770752645,0.038300922
I71,0.000868923,-0.001561041,0.002145521,-0.154745907,0.212685381,-0.727581303,0.766565035
I72,0.000385529,-0.002137196,0.002251543,-0.422305976,0.444900644,-0.949214125,0.828744141
I73,0.00154508,0.003236717,0.002259727,0.198673953,0.138705055,1.432348321,0.07602208
I74,0.000960857,0.001707844,0.002074407,0.155603591,0.189001505,0.823292869,0.205170734
I77,0.00129894,-0.001509159,0.002365228,-0.106940328,0.16760211,-0.638060749,0.738282932
I78,0.000613881,-0.001489574,0.002101415,-0.197974112,0.27929171,-0.708843494,0.760789198
I80,0.00478353,0.010284004,0.002683112,0.253376917,0.066106411,3.832864491,6.33e-05
I82,0.000323251,-0.002348238,0.002877646,-0.539806767,0.661505878,-0.816027166,0.792757701
I83,0.0206347,0.022049006,0.003170327,0.180265599,0.02591958,6.954804071,1.77e-12
I84,0.0242883,0.007066947,0.002257916,0.051463915,0.016442915,3.129853528,0.000874467
I85,0.000596087,-0.001933772,0.001963684,-0.263502501,0.267578449,-0.984767278,0.837630801
I86,0.000510085,0.000971713,0.002163983,0.151159609,0.336629043,0.44903912,0.326701718
I87,0.000260973,-0.004153174,0.002197467,-1.148225807,0.607532693,-1.889981924,0.970619811
I89,0.000260973,-0.000608572,0.002187293,-0.16825164,0.60471989,-0.278230703,0.609582366
I95,0.000919338,0.001993971,0.002069233,0.188524132,0.195639933,0.963628072,0.167616214
J01,0.000240214,0.002620124,0.002047582,0.778225492,0.608170049,1.279618247,0.100339715
J02,0.000613881,-0.001382159,0.002125534,-0.183697897,0.282497246,-0.650264381,0.74223927
J03,0.000898579,0.003691623,0.002117074,0.355783701,0.204035055,1.74373811,0.040602383
J06,0.00075623,0.000909688,0.002109593,0.101359737,0.235056137,0.431215019,0.333156017
J13,0.000326217,-0.000703851,0.002495778,-0.160533059,0.569232817,-0.282016521,0.611034579
J15,0.000418151,0.001530884,0.002198091,0.282173293,0.40515313,0.696460849,0.243070134
J18,0.00728353,0.000430225,0.002437517,0.007637495,0.043271562,0.176501493,0.429949988
J22,0.00590749,0.005506443,0.002306405,0.114980289,0.04816016,2.387456548,0.008482704
J31,0.000619812,0.001457986,0.002159955,0.192202949,0.284741852,0.675007723,0.249835429
J32,0.0026038,-0.002257128,0.002273169,-0.09042094,0.091063562,-0.992943145,0.839631169
J33,0.0048547,0.005438225,0.002290942,0.132436751,0.055791173,2.373793982,0.008803186
J34,0.0101809,0.005033966,0.00231412,0.069214771,0.031818108,2.175326425,0.014802832
J35,0.00149763,0.000796054,0.002142188,0.050137618,0.13492069,0.371608074,0.355092338
J36,0.000741402,0.000611854,0.002174648,0.069322439,0.246385364,0.281357782,0.389217998
J38,0.00236359,0.000530477,0.00225329,0.022986845,0.097640392,0.235423518,0.406940017
J39,0.000690987,-0.000479719,0.002128565,-0.05768165,0.255939578,-0.225372137,0.589155107
J40,0.000275802,0.003892146,0.002743972,1.025901918,0.723263143,1.418435223,0.078031869
J43,0.000272836,-0.001425375,0.002281211,-0.379227077,0.606926093,-0.624832383,0.733959463
J44,0.00259194,0.006491003,0.002108129,0.260993915,0.084764847,3.079034833,0.001038362
J45,0.00366253,0.001369502,0.002372514,0.041701354,0.072243049,0.577236898,0.281889717
J46,0.000450772,0.001131647,0.002257103,0.195611979,0.390153579,0.50137174,0.308054762
J47,0.000664296,0.004159313,0.002209431,0.517057015,0.274661214,1.882526505,0.029882282
J84,0.000456704,0.000581604,0.002473537,0.099417584,0.422818976,0.235130374,0.407053772
J86,0.000305458,0.003874786,0.002157443,0.935220919,0.520722053,1.796007895,0.036246631
J90,0.00148577,0.001410604,0.002043213,0.0894292,0.129535278,0.690384905,0.244976084
J93,0.000622778,0.000714606,0.00216983,0.093824527,0.284888808,0.329337357,0.370950355
J96,0.000272836,-0.000383832,0.002248726,-0.102120107,0.598283148,-0.17068859,0.567765682
J98,0.000969754,-0.002218409,0.00195732,-0.200567708,0.176962533,-1.133390808,0.871474914
K00,0.000284698,0.000954413,0.002282179,0.244767361,0.585284455,0.418202395,0.337899572
K01,0.00336893,0.003121734,0.002211764,0.101624423,0.072001404,1.411422791,0.079059993
K02,0.00398281,0.00366348,0.002249773,0.104346724,0.06408017,1.628377755,0.051722406
K04,0.0036388,-0.000186824,0.002104364,-0.005718367,0.064411149,-0.088779145,0.535371284
K05,0.000931201,-0.000496918,0.002034273,-0.046479822,0.190278145,-0.244273044,0.59649032
K06,0.000373667,-0.000842801,0.002030081,-0.171059066,0.412035138,-0.4151565,0.66098633
K07,0.000910442,-0.002148593,0.002204485,-0.204806789,0.210134425,-0.97464653,0.835132188
K08,0.00367439,0.003337288,0.002279525,0.101358532,0.069232648,1.464027958,0.071593155
K09,0.00060795,0.003666643,0.002186762,0.491348743,0.293037137,1.67674564,0.046796116
K10,0.000361804,0.002202119,0.002396872,0.459498017,0.500135552,0.918746958,0.179113971
K11,0.00162515,-0.001461728,0.001953916,-0.086061757,0.115040224,-0.748101441,0.772800513
K12,0.000495257,0.000291964,0.002017071,0.046573798,0.321761195,0.144746472,0.442455523
K13,0.00386419,-0.001313417,0.002151062,-0.038320838,0.062760367,-0.610589771,0.729264402
K14,0.00148577,0.004700232,0.002382194,0.297984464,0.151025909,1.973068502,0.024243879
K20,0.00999113,0.004906111,0.002265548,0.068422585,0.031596236,2.165529636,0.015173574
K21,0.0215956,0.010471167,0.002095998,0.082872968,0.01658856,4.995790355,2.93e-07
K22,0.010261,0.005910781,0.002878686,0.080791484,0.039347306,2.053291367,0.020022164
K25,0.00370998,-0.000379832,0.002120103,-0.011447716,0.063897544,-0.179157378,0.571092935
K26,0.00280547,-0.000842867,0.002241806,-0.031789326,0.08455125,-0.375977007,0.646533005
K27,0.000201661,-0.000426833,0.002105877,-0.147544387,0.727943503,-0.20268659,0.580309997
K29,0.0239621,0.007810589,0.002595588,0.057424064,0.019082967,3.009178963,0.001309774
K30,0.015006,0.006887506,0.002319902,0.070935231,0.02389294,2.96887834,0.001494445
K31,0.00360618,0.001219112,0.00212702,0.037584305,0.065574442,0.573154787,0.283269947
K35,0.00497036,0.004182917,0.002027482,0.099995891,0.04846854,2.063109204,0.019551127
K37,0.000717677,0.001154272,0.001867584,0.134417159,0.21748372,0.61805619,0.26826915
K40,0.0261418,0.019094872,0.002967635,0.132060146,0.020524167,6.43437287,6.2e-11
K41,0.000966788,0.002829238,0.002533164,0.256449969,0.229613018,1.116879053,0.132023021
K42,0.00484284,0.002001058,0.002078683,0.048825624,0.050719675,0.962656491,0.167859969
K43,0.00455517,0.005103922,0.002090538,0.130698735,0.053533481,2.441439129,0.007314427
K44,0.01578,0.005925449,0.002102774,0.058818455,0.020873008,2.817919515,0.002416796
K46,0.000237249,0.004833638,0.003056121,1.451204566,0.917540192,1.581625065,0.056867594
K50,0.00217082,0.004491813,0.002174879,0.208598301,0.101000669,2.065316019,0.019446554
K51,0.00468269,0.006338739,0.002314147,0.158819388,0.057981781,2.73912574,0.00308014
K52,0.0191371,0.006732189,0.002428371,0.058097608,0.020956418,2.772306243,0.002783032
K55,0.000602018,-0.000550328,0.002168165,-0.07436248,0.292970871,-0.253822095,0.600183498
K56,0.00340452,-0.001036548,0.002219214,-0.033460853,0.071638538,-0.467078945,0.679778301
